X, Result
-1.0, 6.030350178714917
-0.9, 5.276909388708131
-0.8, 3.863395416900655
-0.7000000000000001, 2.3303012054639463
-0.6000000000000001, 1.1812121912534008
-0.5000000000000001, 0.5125916494570945
-0.40000000000000013, 0.1894824226931192
-0.30000000000000016, 0.056736786004249536
-0.20000000000000015, 0.011785072741282517
-0.10000000000000014, 9.716320373900044E-4
-1.3877787807814457E-16, -3.253256614381099E-7
0.09999999999999987, 11.58962942421759
0.19999999999999987, 35.40927016443939
0.2999999999999999, 93.31496655658067
0.3999999999999999, 237.7087255329223
0.4999999999999999, 630.5034483220018
0.5999999999999999, 1873.3500274016387
0.6999999999999998, 6942.225327880824
0.7999999999999998, 40003.882298025725
0.8999999999999998, 710599.5697339448
